schoolID,Round32,Sweet16,Elite8,Final4,Final,Champion,Round32TotalPred,Sweet16TotalPred,Elite8TotalPred,Final4TotalPred,FinalTotalPred,ChampionTotalPred,offanddef_round32pred,offanddef_sweet16pred,offanddef_elite8pred,offanddef_final4pred,offanddef_finalpred,offanddef_championpred
Pittsburgh2013,0,0,0,0,0,0,1.001130247,-0.028466167,0.073493526,0.155407053,0.295794039,0.210260396,0.694159046,0.114504728,-0.03934998,-0.127536109,-0.035403261,0.01510453
Pittsburgh2014,1,0,0,0,0,0,0.668887953,0.110673031,0.094576325,-0.120299776,-0.010066876,-0.064192707,0.48864118,0.115074722,0.036819959,-0.084320694,-0.042358815,-0.002024149
Pittsburgh2016,0,0,0,0,0,0,0.630942304,0.452324511,0.074527889,0.041217995,0.11890711,-0.008186023,0.584438352,0.310519534,0.072153607,-0.039557884,0.035022605,-0.008186023
Prairie View A&M2019,0,0,0,0,0,0,0.652515564,0.431472896,0.254642556,0.060857298,0.030446414,0.101339382,0.462060513,0.194398377,0.033200041,-0.023278023,0.030446414,-0.004066935
Princeton2011,0,0,0,0,0,0,0.819049867,0.707497592,0.210674752,0.188162562,0.164596793,0.043864793,0.547744346,0.287746803,0.129563596,0.042286902,0.05036252,0.01258895
Princeton2017,0,0,0,0,0,0,0.883188132,0.697139679,0.200511008,0.044167251,0.012675489,0.03151876,0.610254093,0.489473248,0.142754642,0.009430264,0.058553605,0.03151876
Providence2014,0,0,0,0,0,0,1.809973588,1.645020236,0.873399187,0.455385723,0.299048219,0.053729835,1.176225451,1.008559008,0.557529589,0.293833966,0.131279209,0.053729835
Providence2015,0,0,0,0,0,0,1.422277029,0.668987025,0.497756534,0.213114421,0.186641986,0.05368447,1.00997191,0.401636264,0.257162442,0.051562663,0.018872976,0.05368447
Providence2016,1,0,0,0,0,0,1.987739307,0.743293399,0.608184457,0.354001567,0.094102554,0.134417844,1.119769402,0.688078337,0.376204664,0.139876181,0.057659968,0.07157147
Providence2017,0,0,0,0,0,0,1.284187774,0.349782047,0.007859008,-0.075196004,-0.033146378,0.004961735,0.528917977,0.20418414,0.025340021,-0.075196004,-0.033146378,0.004961735
Providence2018,0,0,0,0,0,0,1.170797518,0.742121642,0.155986299,0.070091031,0.062284904,0.012412683,0.749566453,0.454408335,0.173467313,0.028087225,0.029992965,0.012412683
Purdue2010,1,1,0,0,0,0,1.44483978,0.577720271,0.361934179,0.191422648,0.079840396,0.06453165,0.833729809,0.458326712,0.243960269,0.052813808,0.0329877,0.033255807
Purdue2011,1,0,0,0,0,0,1.100711135,0.793833167,0.498212464,0.233379458,0.09325517,0.081855636,0.706284893,0.462314753,0.229925632,0.091579779,0.052684971,0.035269699
Purdue2012,1,0,0,0,0,0,0.670743125,0.004016594,-0.315628619,-0.080740486,-0.004850756,-0.015927528,0.317061058,-0.138795718,-0.10285268,-0.080740486,-0.004850756,-0.015927528
Purdue2015,0,0,0,0,0,0,1.063366328,0.72002824,0.281837743,0.109297241,0.139254408,0.021077281,0.754134253,0.306181011,0.16357931,-0.013482444,0.023077963,0.021077281
Purdue2016,0,0,0,0,0,0,1.568399679,0.976796805,0.436208026,0.213613587,0.097587706,0.105278353,1.11047792,0.60835155,0.225677561,0.106550894,0.057017507,0.058692416
Purdue2017,1,1,0,0,0,0,1.720026016,1.150067693,0.612135261,0.454504772,0.264149408,0.106041856,1.113548424,0.803001752,0.392291808,0.224662394,0.107402764,0.059455918
Purdue2018,1,1,0,0,0,0,1.343905988,1.03038013,0.452797319,0.265032931,0.128902311,0.033770222,0.952986809,0.763847533,0.371254831,0.188292139,0.096610371,0.033770222
Purdue2019,1,1,1,0,0,0,1.072037051,1.469507499,1.359531345,0.086134529,0.040310978,0.023470199,0.814180083,0.422392598,0.247357984,0.051397543,0.040310978,0.023470199
Radford2018,0,0,0,0,0,0,-0.010882025,-0.139543637,-0.230328566,-0.047087576,0.029942265,-0.027842834,0.091169856,-0.127842066,-0.174761957,-0.089091382,-0.002349674,-0.027842834
Rhode Island2017,1,0,0,0,0,0,1.531118606,0.922245219,0.360412536,0.165879328,0.055210702,0.051845477,0.989990712,0.523980425,0.205922422,0.027270489,0.054236122,0.020569633
Rhode Island2018,1,0,0,0,0,0,1.466481691,0.8694753,0.382408244,0.224993481,0.104655749,0.057673331,1.033345829,0.763447909,0.380218487,0.190256495,0.104655749,0.057673331
Richmond2010,0,0,0,0,0,0,1.682508739,0.970632491,0.196644007,0.078169188,0.226068695,0.219671603,0.939890672,0.498384478,0.196644007,0.036165382,0.028392813,0.042585871
Richmond2011,1,1,0,0,0,0,1.246587718,1.029994418,0.31165907,0.495856273,-0.040623342,-0.003577216,0.80755335,0.580056927,0.201431801,0.09822744,0.013202752,0.027769206
Robert Morris2010,0,0,0,0,0,0,0.859672647,0.493875298,0.434328596,-0.013008466,-0.012300649,-0.034202458,0.434760203,0.227163313,0.004173666,-0.013008466,-0.002692476,-0.003876957
Robert Morris2015,0,0,0,0,0,0,1.364182593,0.755712047,0.397881786,0.094521175,0.054592033,0.025389846,0.962352408,0.390767655,0.221936878,0.059784189,0.054592033,0.025389846
Saint Joseph's2014,0,0,0,0,0,0,1.185807577,1.001388348,0.516597912,0.266718636,0.187454009,0.057802745,0.782399468,0.614342495,0.285115792,0.117652137,0.079502232,0.011216808
Saint Joseph's2016,1,0,0,0,0,0,1.665452588,0.798933325,0.472521586,0.502237452,0.083585612,0.049795749,0.886205842,0.844598439,0.313816123,0.159057102,0.051293673,0.049795749
